2023/09/1-10:44:42 => 刚启动，先读取使能状态
2023/09/1-10:44:42 => sent:01 03 00 00 00 01 84 0A   to COM[1] , PORT[1]
2023/09/1-10:44:42 => sent:01 03 00 00 00 01 84 0A   to COM[2] , PORT[1]
2023/09/1-10:44:42 => sent:01 03 00 00 00 01 84 0A   to COM[3] , PORT[1]
2023/09/1-10:44:42 => sent:01 03 00 00 00 01 84 0A   to COM[4] , PORT[1]
2023/09/1-10:44:42 => sent:01 03 00 00 00 01 84 0A   to COM[5] , PORT[1]
2023/09/1-10:44:42 => sent:01 03 00 00 00 01 84 0A   to COM[6] , PORT[1]
2023/09/1-10:44:42 => sent:01 03 00 00 00 01 84 0A   to COM[7] , PORT[1]
2023/09/1-10:44:42 => sent:01 03 00 00 00 01 84 0A   to COM[8] , PORT[1]
2023/09/1-10:44:42 => sent:01 03 00 00 00 01 84 0A   to COM[9] , PORT[1]
2023/09/1-10:44:42 => sent:01 03 00 00 00 01 84 0A   to COM[10] , PORT[1]
2023/09/1-10:44:42 => sent:01 03 00 00 00 01 84 0A   to COM[11] , PORT[1]
2023/09/1-10:44:42 => sent:01 03 00 00 00 01 84 0A   to COM[12] , PORT[1]
2023/09/1-10:44:42 => sent:01 03 00 00 00 01 84 0A   to COM[13] , PORT[1]
2023/09/1-10:44:42 => sent:01 03 00 00 00 01 84 0A   to COM[14] , PORT[1]
2023/09/1-10:44:42 => sent:01 03 00 00 00 01 84 0A   to COM[15] , PORT[1]
2023/09/1-10:44:42 => sent:01 03 00 00 00 01 84 0A   to COM[16] , PORT[1]
2023/09/1-10:44:42 => sent:02 03 00 00 00 01 84 39   to COM[1] , PORT[2]
2023/09/1-10:44:42 => sent:02 03 00 00 00 01 84 39   to COM[2] , PORT[2]
2023/09/1-10:44:42 => sent:02 03 00 00 00 01 84 39   to COM[3] , PORT[2]
2023/09/1-10:44:42 => sent:02 03 00 00 00 01 84 39   to COM[4] , PORT[2]
2023/09/1-10:44:42 => sent:02 03 00 00 00 01 84 39   to COM[5] , PORT[2]
2023/09/1-10:44:42 => sent:02 03 00 00 00 01 84 39   to COM[6] , PORT[2]
2023/09/1-10:44:42 => sent:02 03 00 00 00 01 84 39   to COM[7] , PORT[2]
2023/09/1-10:44:42 => sent:02 03 00 00 00 01 84 39   to COM[8] , PORT[2]
2023/09/1-10:44:42 => sent:02 03 00 00 00 01 84 39   to COM[9] , PORT[2]
